15 	9 	4 	10 	23 	16 	10 	23 	15 	7 
13 	15 	4 	1 	17 	20 	7 	17 	2 	12 
16 	17 	16 	14 	20 	5 	17 	6 	25 	7 
12 	25 	16 	10 	14 	14 	3 	21 	8 	3 
22 	19 	9 	12 	14 	24 	11 	15 	15 	25 
18 	5 	22 	5 	12 	2 	4 	13 	14 	5 
13 	22 	13 	17 	14 	12 	9 	24 	18 	11 
14 	13 	16 	23 	2 	6 	13 	7 	20 	19 
20 	19 	21 	20 	17 	16 	9 	22 	15 	16 
6 	15 	19 	1 	18 	2 	9 	23 	16 	9 
25 	2 	14 	14 	23 	18 	22 	7 	12 	13 
13 	4 	14 	14 	2 	8 	14 	4 	9 	17 
12 	4 	23 	8 	20 	15 	18 	14 	11 	15 
17 	24 	24 	2 	19 	16 	4 	19 	25 	21 
2 	21 	15 	3 	17 	2 	14 	6 	17 	5 
9 	23 	13 	23 	16 	4 	25 	3 	23 	16 
12 	24 	3 	19 	8 	1 	9 	2 	17 	12 
8 	17 	21 	13 	22 	11 	21 	3 	3 	14 
7 	11 	6 	12 	14 	24 	14 	18 	21 	22 
2 	10 	16 	6 	24 	19 	5 	2 	18 	16 
20 	5 	23 	24 	23 	5 	15 	20 	8 	24 
10 	18 	9 	14 	24 	3 	19 	14 	4 	19 
23 	23 	6 	19 	19 	22 	12 	19 	25 	12 
12 	22 	17 	16 	18 	5 	15 	2 	9 	11 
3 	19 	8 	10 	12 	24 	10 	16 	11 	12 
8 	17 	15 	6 	14 	14 	10 	24 	19 	24 
20 	6 	12 	15 	11 	6 	11 	21 	14 	8 
14 	3 	18 	8 	11 	24 	13 	16 	6 	19 
11 	4 	19 	4 	2 	5 	16 	11 	14 	10 
25 	8 	12 	8 	15 	13 	21 	12 	13 	21 
7 	13 	6 	20 	3 	16 	22 	23 	20 	11 
24 	1 	11 	1 	7 	5 	4 	21 	13 	3 
16 	14 	12 	23 	24 	22 	15 	2 	4 	19 
25 	21 	11 	5 	20 	5 	17 	9 	15 	18 
16 	20 	7 	23 	23 	5 	2 	24 	11 	20 
8 	15 	13 	23 	13 	4 	17 	17 	12 	11 
5 	3 	21 	2 	15 	13 	3 	3 	18 	15 
11 	17 	15 	24 	14 	14 	15 	24 	25 	14 
2 	11 	19 	10 	7 	14 	18 	21 	15 	13 
6 	10 	12 	23 	9 	13 	3 	15 	11 	11 
16 	22 	10 	9 	16 	23 	7 	17 	2 	4 
2 	6 	2 	18 	20 	11 	14 	21 	2 	10 
24 	7 	7 	24 	19 	24 	17 	7 	20 	10 
21 	14 	15 	5 	20 	23 	21 	19 	22 	15 
15 	11 	8 	4 	5 	20 	18 	12 	19 	17 
5 	21 	7 	5 	25 	23 	22 	2 	13 	18 
21 	6 	21 	21 	19 	23 	24 	17 	12 	8 
2 	8 	20 	4 	17 	4 	3 	18 	23 	23 
20 	6 	9 	16 	6 	10 	10 	6 	15 	7 
4 	8 	7 	4 	24 	17 	9 	13 	6 	24 
9 	21 	15 	7 	8 	20 	5 	16 	15 	18 
3 	6 	11 	25 	19 	18 	9 	2 	4 	23 
23 	20 	13 	7 	17 	21 	12 	14 	8 	15 
5 	8 	7 	22 	20 	2 	23 	8 	2 	10 
17 	6 	9 	16 	14 	25 	17 	21 	3 	13 
11 	18 	10 	18 	10 	4 	13 	20 	14 	21 
11 	18 	15 	10 	13 	12 	23 	23 	16 	22 
20 	12 	5 	23 	20 	2 	6 	19 	19 	8 
